"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Lekve Bjelle E.; Steen-Olsen K.; Wood R.","Lekve Bjelle, Eivind (57203548117); Steen-Olsen, Kjartan (55181779600); Wood, Richard (57196060442)","57203548117; 55181779600; 57196060442","Climate change mitigation potential of Norwegian households and the rebound effect","2018","Journal of Cleaner Production","172","","","208","217","9","67","10.1016/j.jclepro.2017.10.089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038858583&doi=10.1016%2fj.jclepro.2017.10.089&partnerID=40&md5=60fec73ae94e4f4a38ca6b47949c368d","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85038858583"
"Liang Q.-M.; Liu M.; Liu L.-C.","Liang, Qiao-Mei (13002620600); Liu, Min (56505788900); Liu, Lan-Cui (11940718000)","13002620600; 56505788900; 11940718000","The dynamic features of final demand carbon footprint in China from 1997-2010-an input-output analysis","2014","Energy Procedia","61","","","1075","1079","4","3","10.1016/j.egypro.2014.11.1026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922357522&doi=10.1016%2fj.egypro.2014.11.1026&partnerID=40&md5=030cffc80479d20654ff779c0b7af912","Conference paper","Final","","Scopus","2-s2.0-84922357522"
"Harris S.; Weinzettel J.; Bigano A.; Källmén A.","Harris, Steve (55470008200); Weinzettel, Jan (24367581900); Bigano, Andrea (6507141274); Källmén, Albin (57212373451)","55470008200; 24367581900; 6507141274; 57212373451","Low carbon cities in 2050? GHG emissions of European cities using production-based and consumption-based emission accounting methods","2020","Journal of Cleaner Production","248","","119206","","","","155","10.1016/j.jclepro.2019.119206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076517153&doi=10.1016%2fj.jclepro.2019.119206&partnerID=40&md5=7c515795b74b4e86d0ee8087dcba25eb","Article","Final","","Scopus","2-s2.0-85076517153"
"Ivanova D.; Vita G.; Steen-Olsen K.; Stadler K.; Melo P.C.; Wood R.; Hertwich E.G.","Ivanova, Diana (57021242100); Vita, Gibran (57021184500); Steen-Olsen, Kjartan (55181779600); Stadler, Konstantin (34972125100); Melo, Patricia C. (25959661000); Wood, Richard (57196060442); Hertwich, Edgar G. (6701785583)","57021242100; 57021184500; 55181779600; 34972125100; 25959661000; 57196060442; 6701785583","Mapping the carbon footprint of EU regions","2017","Environmental Research Letters","12","5","054013","","","","234","10.1088/1748-9326/aa6da9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019622861&doi=10.1088%2f1748-9326%2faa6da9&partnerID=40&md5=3b036354901b541276ea4d469e348c92","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85019622861"
"He K.; Hertwich E.G.","He, Kehan (57217338847); Hertwich, Edgar G. (6701785583)","57217338847; 6701785583","The flow of embodied carbon through the economies of China, the European Union, and the United States","2019","Resources, Conservation and Recycling","145","","","190","198","8","50","10.1016/j.resconrec.2019.02.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062351244&doi=10.1016%2fj.resconrec.2019.02.016&partnerID=40&md5=f0d7c240063d4b3673757911be471213","Article","Final","","Scopus","2-s2.0-85062351244"
"Shigetomi Y.; Nansai K.; Kagawa S.; Tohno S.","Shigetomi, Yosuke (56028497000); Nansai, Keisuke (55942735500); Kagawa, Shigemi (35773505400); Tohno, Susumu (7005864717)","56028497000; 55942735500; 35773505400; 7005864717","Changes in the carbon footprint of Japanese households in an aging society","2014","Environmental Science and Technology","48","11","","6069","6080","11","80","10.1021/es404939d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901921793&doi=10.1021%2fes404939d&partnerID=40&md5=4a4ffa4bd7804adc434570dfd6191ea0","Article","Final","","Scopus","2-s2.0-84901921793"
"Al Irsyad M.I.; Halog A.; Nepal R.","Al Irsyad, Muhammad Indra (57201184625); Halog, Anthony (14919073000); Nepal, Rabindra (28567916500)","57201184625; 14919073000; 28567916500","Estimating the impacts of financing support policies towards photovoltaic market in Indonesia: A social-energy-economy-environment model simulation","2019","Journal of Environmental Management","230","","","464","473","9","45","10.1016/j.jenvman.2018.09.069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055911677&doi=10.1016%2fj.jenvman.2018.09.069&partnerID=40&md5=bc50a7b009d60fc50ab4ca445065d724","Article","Final","","Scopus","2-s2.0-85055911677"
"Christis M.; Breemersch K.; Vercalsteren A.; Dils E.","Christis, Maarten (56798391800); Breemersch, Koen (57208304805); Vercalsteren, An (6504475147); Dils, Evelien (55834690100)","56798391800; 57208304805; 6504475147; 55834690100","A detailed household carbon footprint analysis using expenditure accounts – Case of Flanders (Belgium)","2019","Journal of Cleaner Production","228","","","1167","1175","8","42","10.1016/j.jclepro.2019.04.160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065430821&doi=10.1016%2fj.jclepro.2019.04.160&partnerID=40&md5=d7e16c5ed6685582806b8c1c7bf55ad3","Article","Final","","Scopus","2-s2.0-85065430821"
"Hu J.; Wood R.; Tukker A.; Boonman H.; de Boer B.","Hu, Jinxue (57208330721); Wood, Richard (57196060442); Tukker, Arnold (6701524162); Boonman, Hettie (56502412400); de Boer, Bertram (57210301748)","57208330721; 57196060442; 6701524162; 56502412400; 57210301748","Global transport emissions in the Swedish carbon footprint","2019","Journal of Cleaner Production","226","","","210","220","10","35","10.1016/j.jclepro.2019.03.263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064508786&doi=10.1016%2fj.jclepro.2019.03.263&partnerID=40&md5=e8edd9159c24e48eaa4c8e5cfdcf3c48","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85064508786"
"Druckman A.; Jackson T.","Druckman, Angela (23034083500); Jackson, Tim (25926485600)","23034083500; 25926485600","Understanding households as drivers of carbon emissions","2015","Taking Stock of Industrial Ecology","","","","181","203","22","70","10.1007/978-3-319-20571-7_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978340007&doi=10.1007%2f978-3-319-20571-7_9&partnerID=40&md5=df944fe118d9c48f93da633264881133","Book chapter","Final","","Scopus","2-s2.0-84978340007"
"Froemelt A.; Wiedmann T.","Froemelt, Andreas (57190067905); Wiedmann, Thomas (11940678500)","57190067905; 11940678500","A two-stage clustering approach to investigate lifestyle carbon footprints in two Australian cities","2020","Environmental Research Letters","15","10","104096","","","","24","10.1088/1748-9326/abb502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094846203&doi=10.1088%2f1748-9326%2fabb502&partnerID=40&md5=07a5e5eb6c641ec6b5531e9fcffc7c35","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85094846203"
"Shigetomi Y.; Nansai K.; Kagawa S.; Tohno S.","Shigetomi, Yosuke (56028497000); Nansai, Keisuke (55942735500); Kagawa, Shigemi (35773505400); Tohno, Susumu (7005864717)","56028497000; 55942735500; 35773505400; 7005864717","Fertility-rate recovery and double-income policies require solving the carbon gap under the Paris Agreement","2018","Resources, Conservation and Recycling","133","","","385","394","9","29","10.1016/j.resconrec.2017.11.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039724783&doi=10.1016%2fj.resconrec.2017.11.017&partnerID=40&md5=315a5693f0629ef010943b2d214d2c96","Article","Final","","Scopus","2-s2.0-85039724783"
"Long Y.; Dong L.; Yoshida Y.; Li Z.","Long, Yin (57195739016); Dong, Liang (55752935000); Yoshida, Yoshikuni (7404400212); Li, Zhaoling (56780863100)","57195739016; 55752935000; 7404400212; 56780863100","Evaluation of energy-related household carbon footprints in metropolitan areas of Japan","2018","Ecological Modelling","377","","","16","25","9","37","10.1016/j.ecolmodel.2018.03.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044599738&doi=10.1016%2fj.ecolmodel.2018.03.008&partnerID=40&md5=661524be48dba63b7116871c966afdf7","Article","Final","","Scopus","2-s2.0-85044599738"
"Ferrão P.; Ribeiro P.; Rodrigues J.; Marques A.; Preto M.; Amaral M.; Domingos T.; Lopes A.; Costa E.I.","Ferrão, Paulo (6603743982); Ribeiro, Paulo (7102543020); Rodrigues, João (55909323200); Marques, Alexandra (56783638400); Preto, Miguel (23986126900); Amaral, Miguel (57074479100); Domingos, Tiago (6506853774); Lopes, Ana (57212637203); Costa, E Inês (35309773400)","6603743982; 7102543020; 55909323200; 56783638400; 23986126900; 57074479100; 6506853774; 57212637203; 35309773400","Environmental, economic and social costs and benefits of a packaging waste management system: A Portuguese case study","2014","Resources, Conservation and Recycling","85","","","67","78","11","70","10.1016/j.resconrec.2013.10.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896698710&doi=10.1016%2fj.resconrec.2013.10.020&partnerID=40&md5=dc8078b73e39005e7078379d43e3a127","Article","Final","","Scopus","2-s2.0-84896698710"
"Ivanova D.; Stadler K.; Steen-Olsen K.; Wood R.; Vita G.; Tukker A.; Hertwich E.G.","Ivanova, Diana (57021242100); Stadler, Konstantin (34972125100); Steen-Olsen, Kjartan (55181779600); Wood, Richard (57196060442); Vita, Gibran (57021184500); Tukker, Arnold (6701524162); Hertwich, Edgar G. (6701785583)","57021242100; 34972125100; 55181779600; 57196060442; 57021184500; 6701524162; 6701785583","Environmental Impact Assessment of Household Consumption","2016","Journal of Industrial Ecology","20","3","","526","536","10","589","10.1111/jiec.12371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951829793&doi=10.1111%2fjiec.12371&partnerID=40&md5=e477c403c06d5ace12a20e26a7755491","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84951829793"
"Xiao Y.; Xiao Q.; Tan H.; Luo Y.","Xiao, Yang (55321749800); Xiao, Qiang (37029227000); Tan, Hong (7403007997); Luo, Ying (57212023142)","55321749800; 37029227000; 7403007997; 57212023142","Effects of mountain urbanization on greenhouse gas emissions from municipal solid waste management practices in Southwest China","2020","Environmental Monitoring and Assessment","192","11","690","","","","2","10.1007/s10661-020-08621-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092326323&doi=10.1007%2fs10661-020-08621-7&partnerID=40&md5=6082429559738be8234168443943e617","Article","Final","","Scopus","2-s2.0-85092326323"
"Wood R.; Moran D.; Stadler K.; Ivanova D.; Steen-Olsen K.; Tisserant A.; Hertwich E.G.","Wood, Richard (57196060442); Moran, Daniel (12801754000); Stadler, Konstantin (34972125100); Ivanova, Diana (57021242100); Steen-Olsen, Kjartan (55181779600); Tisserant, Alexandre (57193548058); Hertwich, Edgar G. (6701785583)","57196060442; 12801754000; 34972125100; 57021242100; 55181779600; 57193548058; 6701785583","Prioritizing Consumption-Based Carbon Policy Based on the Evaluation of Mitigation Potential Using Input-Output Methods","2018","Journal of Industrial Ecology","22","3","","540","552","12","76","10.1111/jiec.12702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035214453&doi=10.1111%2fjiec.12702&partnerID=40&md5=2b01203efc67656dcd54b5a54c214409","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85035214453"
"Gábor H.; Zoltán K.; Csaba K.A.; Balázs S.","Gábor, Harangozó (55460462300); Zoltán, Kovács (57209887085); Csaba, Kondor Attila (24166856000); Balázs, Szabó (24167279800)","55460462300; 57209887085; 24166856000; 24167279800","Changes in the household consumption-based ecological footprint of Budapest metropolitan region between 2003 and 2013; [A budapesti várostérség fogyasztási alapú ökológiai lábnyomának változása 2003 és 2013 között]","2019","Teruleti Statisztika","59","1","","97","123","26","11","10.15196/TS590105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068981358&doi=10.15196%2fTS590105&partnerID=40&md5=bb7720817f6e4275cee6763bd3f69181","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85068981358"
"Osei-Owusu Kwame A.; Thomsen M.; Lindahl J.; Javakhishvili Larsen N.; Caro D.","Osei-Owusu Kwame, Albert (57218242336); Thomsen, Marianne (55499680500); Lindahl, Jonathan (57218242111); Javakhishvili Larsen, Nino (57191495085); Caro, Dario (55530721700)","57218242336; 55499680500; 57218242111; 57191495085; 55530721700","Tracking the carbon emissions of Denmark's five regions from a producer and consumer perspective","2020","Ecological Economics","177","","106778","","","","21","10.1016/j.ecolecon.2020.106778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087920740&doi=10.1016%2fj.ecolecon.2020.106778&partnerID=40&md5=ca8e44c460c0865059785d02123d87b8","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85087920740"
"Underwood A.; Zahran S.","Underwood, Anthony (56435657700); Zahran, Sammy (14120438000)","56435657700; 14120438000","The carbon implications of declining household scale economies","2015","Ecological Economics","116","","","182","190","8","54","10.1016/j.ecolecon.2015.04.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928881658&doi=10.1016%2fj.ecolecon.2015.04.028&partnerID=40&md5=c1e3ce2ca036a54948783e6ff3b791ce","Article","Final","","Scopus","2-s2.0-84928881658"
"Mi Z.; Zheng J.; Meng J.; Ou J.; Hubacek K.; Liu Z.; Coffman D.M.; Stern N.; Liang S.; Wei Y.-M.","Mi, Zhifu (55272317400); Zheng, Jiali (57200973818); Meng, Jing (55975044300); Ou, Jiamin (54384023000); Hubacek, Klaus (55802235200); Liu, Zhu (57196426525); Coffman, D’Maris (56603101200); Stern, Nicholas (7103384515); Liang, Sai (36453970600); Wei, Yi-Ming (13005705700)","55272317400; 57200973818; 55975044300; 54384023000; 55802235200; 57196426525; 56603101200; 7103384515; 36453970600; 13005705700","Economic development and converging household carbon footprints in China","2020","Nature Sustainability","3","7","","529","537","8","339","10.1038/s41893-020-0504-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083051781&doi=10.1038%2fs41893-020-0504-y&partnerID=40&md5=cae77b7fd5002294d9e12789b52a6d14","Article","Final","","Scopus","2-s2.0-85083051781"
"Liu X.; Wang X.; Song J.; Duan H.; Wang S.","Liu, Xiaoyu (58388525400); Wang, Xian'en (36452541500); Song, Junnian (56082496000); Duan, Haiyan (36479781200); Wang, Shuo (57191715344)","58388525400; 36452541500; 56082496000; 36479781200; 57191715344","Why are the carbon footprints of China's urban households rising? An input-output analysis and structural decomposition analysis","2019","Sustainability (Switzerland)","11","24","7157","","","","10","10.3390/su11247157","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083844066&doi=10.3390%2fsu11247157&partnerID=40&md5=8d5f88977ea54059445f893962f44297","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85083844066"
"Yu-Ying Lin E.; Chen P.-Y.; Chen C.-C.","Yu-Ying Lin, Eugene (55618065000); Chen, Ping-Yu (55618407000); Chen, Chi-Chung (8336656500)","55618065000; 55618407000; 8336656500","Measuring the environmental efficiency of countries: A directional distance function metafrontier approach","2013","Journal of Environmental Management","119","","","134","142","8","48","10.1016/j.jenvman.2013.01.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874770475&doi=10.1016%2fj.jenvman.2013.01.015&partnerID=40&md5=5a471b8c723bbeb24d8b5880a36a23f7","Article","Final","","Scopus","2-s2.0-84874770475"
"Ala-Mantila S.; Heinonen J.; Junnila S.","Ala-Mantila, Sanna (55657695800); Heinonen, Jukka (46961272400); Junnila, Seppo (57213561600)","55657695800; 46961272400; 57213561600","Greenhouse gas implications of urban sprawl in the helsinki metropolitan area","2013","Sustainability (Switzerland)","5","10","","4461","4478","17","37","10.3390/su5104461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887134013&doi=10.3390%2fsu5104461&partnerID=40&md5=bc2cd7653b35db620b21c3bf406f44a1","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84887134013"
"Zhao T.; Cui R.-H.","Zhao, Tao (36807119800); Cui, Ri-Hao (55982075500)","36807119800; 55982075500","Study on carbon footprint of the household consumption in Tianjin based on input-output analysis","2013","Proceedings of 20th International Conference on Industrial Engineering and Engineering Management: Theory and Apply of Industrial Engineering","","","","613","624","11","1","10.1007/978-3-642-40063-6__61","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901019436&doi=10.1007%2f978-3-642-40063-6__61&partnerID=40&md5=deee4bd0aa573aaaeb14ac49364ad613","Conference paper","Final","","Scopus","2-s2.0-84901019436"
"Song K.; Qu S.; Taiebat M.; Liang S.; Xu M.","Song, Kaihui (57199054298); Qu, Shen (56937768600); Taiebat, Morteza (57192594331); Liang, Sai (36453970600); Xu, Ming (55519747200)","57199054298; 56937768600; 57192594331; 36453970600; 55519747200","Scale, distribution and variations of global greenhouse gas emissions driven by U.S. households","2019","Environment International","133","","105137","","","","64","10.1016/j.envint.2019.105137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071969904&doi=10.1016%2fj.envint.2019.105137&partnerID=40&md5=85d95714888c86071ad76e629571dad8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85071969904"
"Yang Z.; Dong W.; Xiu J.; Dai R.; Chou J.","Yang, Zhiyong (56107692200); Dong, Wenjie (57139379600); Xiu, Jinfeng (56967797400); Dai, Rufeng (56967623000); Chou, Jieming (7402095139)","56107692200; 57139379600; 56967797400; 56967623000; 7402095139","Structural path analysis of fossil fuel based CO2 emissions: A case study for China","2015","PLoS ONE","10","9","e0135727","","","","46","10.1371/journal.pone.0135727","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947587994&doi=10.1371%2fjournal.pone.0135727&partnerID=40&md5=8818f165eba6094bec077e3a4f77a3a4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84947587994"
"Irfany M.I.; Klasen S.","Irfany, Mohammad Iqbal (36660941000); Klasen, Stephan (6603894637)","36660941000; 6603894637","Affluence and emission tradeoffs: Evidence from Indonesian households' carbon footprint","2017","Environment and Development Economics","22","5","","546","570","24","12","10.1017/S1355770X17000262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029839538&doi=10.1017%2fS1355770X17000262&partnerID=40&md5=ab692987b487c9a739a53d3d67a13402","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85029839538"
"Tomás M.; López L.A.; Monsalve F.","Tomás, Manuel (57216810444); López, Luis Antonio (23100482700); Monsalve, Fabio (12761342500)","57216810444; 23100482700; 12761342500","Carbon footprint, municipality size and rurality in Spain: Inequality and carbon taxation","2020","Journal of Cleaner Production","266","","121798","","","","48","10.1016/j.jclepro.2020.121798","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084743141&doi=10.1016%2fj.jclepro.2020.121798&partnerID=40&md5=57b292745fabd92a50f784deaae18962","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85084743141"
"Moran D.; Wood R.; Hertwich E.; Mattson K.; Rodriguez J.F.D.; Schanes K.; Barrett J.","Moran, Daniel (12801754000); Wood, Richard (57196060442); Hertwich, Edgar (6701785583); Mattson, Kim (57205120299); Rodriguez, Joao F. D. (57205114444); Schanes, Karin (57191968063); Barrett, John (7403498603)","12801754000; 57196060442; 6701785583; 57205120299; 57205114444; 57191968063; 7403498603","Quantifying the potential for consumer-oriented policy to reduce European and foreign carbon emissions","2020","Climate Policy","20","sup1","","S28","S38","10","148","10.1080/14693062.2018.1551186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058634857&doi=10.1080%2f14693062.2018.1551186&partnerID=40&md5=9d6b58119714784a76d478d1771e08d5","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85058634857"
"Tian X.; Chang M.; Lin C.; Tanikawa H.","Tian, Xin (59847951100); Chang, Miao (8564422300); Lin, Chen (56403543500); Tanikawa, Hiroki (7004145612)","59847951100; 8564422300; 56403543500; 7004145612","China's carbon footprint: A regional perspective on the effect of transitions in consumption and production patterns","2014","Applied Energy","123","","","19","28","9","143","10.1016/j.apenergy.2014.02.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896057080&doi=10.1016%2fj.apenergy.2014.02.016&partnerID=40&md5=3b3e7b04ee0ff2156318e6cae7ab027d","Article","Final","","Scopus","2-s2.0-84896057080"
